compliance_case_id,complaint_type,regulatory_category,customer_id,received_date,source,assigned_owner,assigned_date,required_action_date,closed_date,status,investigation_notes,disposition,further_escalation_required
CMP-2025-0046,Fair Lending Complaint,Fees / Disclosures,C10050,2025-05-02,Customer Service,R. Kim,2025-05-04,2025-05-13,,Open,Compliance review documented a fees / disclosures concern. Analyst noted CS ref 00018.,,Yes
CMP-2026-0047,Consumer Protection Concern,Fees / Disclosures,C10221,2026-02-10,Customer Service,S. Carter,2026-02-11,2026-02-12,2026-02-23,Closed,Compliance review documented a fees / disclosures concern. Customer Service complaint CS-2025-00522 noted in referral.,Corrective Action Taken,No
CMP-2025-0048,Fair Lending Complaint,Electronic Funds Transfer,C10481,2025-05-12,Customer Service,M. Lewis,2025-05-12,2025-05-23,2025-06-13,Closed,Compliance review documented a electronic funds transfer concern. Referred by Customer Service; originating complaint number was not documented.,Monitoring / Follow-up,Yes
CMP-2025-0049,Compliance Concern,Accessibility,C10012,2025-01-31,Compliance Monitoring,M. Lewis,2025-01-31,2025-02-09,2025-02-14,Closed,Compliance review documented a accessibility concern.,Customer Remediation,No
CMP-2025-0050,Fair Lending Complaint,Other Regulatory,C10419,2025-01-24,Customer Service,R. Kim,2025-01-26,2025-02-05,2025-02-18,Closed,Compliance review documented a other regulatory concern. Customer Service complaint CS-2025-00638 noted in referral.,Monitoring / Follow-up,Yes
CMP-2025-0051,Regulatory Complaint,Fees / Disclosures,,2025-05-19,Branch,R. Kim,2025-05-22,2025-06-04,2025-06-23,Closed,Compliance review documented a fees / disclosures concern.,Corrective Action Taken,Yes
CMP-2026-0052,Compliance Concern,Privacy,C10580,2026-06-10,Branch,J. Nguyen,2026-06-12,2026-06-19,,Open,Compliance review documented a privacy concern.,,No
CMP-2026-0053,Compliance Concern,Fair Treatment,,2026-02-13,Compliance Monitoring,R. Kim,2026-02-16,2026-02-21,2026-03-08,Closed,Compliance review documented a fair treatment concern.,Corrective Action Taken,No
CMP-2026-0054,Regulatory Complaint,Fees / Disclosures,C10559,2026-07-29,Direct Customer,J. Nguyen,2026-07-30,2026-08-12,2026-08-15,Closed,Compliance review documented a fees / disclosures concern.,Referred for Further Review,No
CMP-2025-0055,Fair Lending Complaint,Fair Lending,C10068,2025-07-12,Other Department,A. Patel,2025-07-14,2025-07-28,2025-08-24,Closed,Compliance review documented a fair lending concern.,Customer Remediation,Yes
CMP-2025-0056,Consumer Protection Concern,Accessibility,C10600,2025-06-07,Direct Customer,S. Carter,2025-06-10,2025-06-17,2025-07-11,Closed,Compliance review documented a accessibility concern.,Customer Remediation,No
CMP-2026-0057,Regulatory Complaint,Fees / Disclosures,C10457,2026-01-04,Customer Service,M. Lewis,2026-01-05,2026-01-22,2026-02-15,Closed,Compliance review documented a fees / disclosures concern. Referred by Customer Service; originating complaint number was not documented.,Corrective Action Taken,No
CMP-2025-0058,Regulatory Complaint,Servicing / Collections,C10513,2025-10-24,Customer Service,S. Carter,2025-10-25,2025-11-07,2025-11-22,Closed,Compliance review documented a servicing / collections concern. Referred by Customer Service; originating complaint number was not documented.,No Violation Identified,No
CMP-2025-0059,Regulatory Complaint,Accessibility,C10325,2025-07-25,Branch,S. Carter,2025-07-28,2025-07-30,2025-08-23,Closed,Compliance review documented a accessibility concern.,Customer Remediation,No
CMP-2025-0060,Compliance Concern,Privacy,C10041,2025-12-13,Customer Service,J. Nguyen,2025-12-16,2025-12-22,,Open,Compliance review documented a privacy concern. Referred by Customer Service; originating complaint number was not documented.,,No
CMP-2026-0061,Consumer Protection Concern,Fees / Disclosures,C10003,2026-01-23,Direct Customer,R. Kim,2026-01-24,2026-02-04,2026-02-07,Closed,Compliance review documented a fees / disclosures concern.,Referred for Further Review,No
CMP-2025-0062,Compliance Concern,Fair Treatment,C10473,2025-12-14,Other Department,R. Kim,2025-12-17,2025-12-31,2026-01-21,Closed,Compliance review documented a fair treatment concern.,Referred for Further Review,No
CMP-2025-0063,Compliance Concern,Fees / Disclosures,C10429,2025-11-04,Branch,M. Lewis,2025-11-05,2025-11-18,2025-12-05,Closed,Compliance review documented a fees / disclosures concern.,Monitoring / Follow-up,No
CMP-2026-0064,Consumer Protection Concern,Other Regulatory,C10517,2026-04-24,Digital Monitoring,R. Kim,2026-04-26,2026-05-06,2026-05-13,Closed,Compliance review documented a other regulatory concern.,Referred for Further Review,No
CMP-2025-0065,Consumer Protection Concern,Fees / Disclosures,C10074,2025-06-21,Branch,S. Carter,2025-06-22,2025-07-06,2025-07-07,Closed,Compliance review documented a fees / disclosures concern.,Monitoring / Follow-up,No
CMP-2025-0066,Regulatory Complaint,Fair Lending,C10304,2025-10-08,Customer Service,J. Nguyen,2025-10-09,2025-10-15,2025-10-20,Closed,Compliance review documented a fair lending concern.,Customer Remediation,No
CMP-2025-0067,Fair Lending Complaint,Electronic Funds Transfer,C10203,2025-10-23,Customer Service,R. Kim,2025-10-26,2025-11-06,2025-11-15,Closed,Compliance review documented a electronic funds transfer concern. Originating CS record referenced as CS 2025 00461.,No Violation Identified,No
CMP-2025-0068,Consumer Protection Concern,Fees / Disclosures,C10293,2025-06-13,Customer Service,J. Nguyen,2025-06-13,2025-06-25,2025-07-07,Closed,Compliance review documented a fees / disclosures concern. Customer Service complaint CS-2025-00094 noted in referral.,Monitoring / Follow-up,No
CMP-2026-0069,Regulatory Complaint,Other Regulatory,C10531,2026-04-26,Branch,J. Nguyen,2026-04-26,2026-05-14,2026-05-27,Closed,Compliance review documented a other regulatory concern.,Customer Remediation,No
CMP-2026-0070,Regulatory Complaint,Fair Lending,,2026-01-25,Digital Monitoring,M. Lewis,2026-01-27,2026-01-28,2026-02-22,Closed,Compliance review documented a fair lending concern.,Customer Remediation,Yes
CMP-2025-0071,Regulatory Complaint,Accessibility,C10313,2025-03-21,Customer Service,R. Kim,2025-03-24,2025-04-10,2025-04-25,Closed,Compliance review documented a accessibility concern.,Customer Remediation,No
CMP-2025-0072,Regulatory Complaint,Accessibility,C10544,2025-03-10,Branch,A. Patel,2025-03-11,2025-03-25,2025-04-09,Closed,Compliance review documented a accessibility concern.,Monitoring / Follow-up,No
CMP-2025-0073,Consumer Protection Concern,Servicing / Collections,C10374,2025-08-03,Direct Customer,R. Kim,2025-08-06,2025-08-24,2025-09-15,Closed,Compliance review documented a servicing / collections concern.,Referred for Further Review,Yes
CMP-2025-0074,Compliance Concern,Fair Lending,C10129,2025-10-26,Compliance Monitoring,A. Patel,2025-10-29,2025-11-09,2025-11-24,Closed,Compliance review documented a fair lending concern.,Monitoring / Follow-up,Yes
CMP-2026-0075,Regulatory Complaint,Fees / Disclosures,C10069,2026-06-11,Customer Service,M. Lewis,2026-06-12,2026-06-13,,Open,Compliance review documented a fees / disclosures concern.,,No
CMP-2026-0076,Compliance Concern,Electronic Funds Transfer,C10543,2026-08-14,Customer Service,J. Nguyen,2026-08-16,2026-08-18,2026-09-06,Closed,Compliance review documented a electronic funds transfer concern. Referred by Customer Service; originating complaint number was not documented.,No Violation Identified,No
CMP-2026-0077,Compliance Concern,Fair Treatment,C10547,2026-02-08,Branch,A. Patel,2026-02-11,2026-02-12,2026-03-11,Closed,Compliance review documented a fair treatment concern.,Monitoring / Follow-up,No
CMP-2025-0078,Regulatory Complaint,Fair Treatment,C10329,2025-06-12,Customer Service,S. Carter,2025-06-15,2025-06-16,2025-06-26,Closed,Compliance review documented a fair treatment concern. Customer Service complaint CS-2025-00124 noted in referral.,Monitoring / Follow-up,No
CMP-2026-0079,Consumer Protection Concern,Servicing / Collections,C10528,2026-06-09,Other Department,M. Lewis,2026-06-11,2026-06-24,2026-07-18,Closed,Compliance review documented a servicing / collections concern.,No Violation Identified,No
CMP-2026-0080,Regulatory Complaint,Accessibility,C10041,2026-05-12,Customer Service,A. Patel,2026-05-14,2026-05-27,2026-06-16,Closed,Compliance review documented a accessibility concern.,Customer Remediation,No
CMP-2026-0081,Regulatory Complaint,Fair Lending,C10229,2026-01-30,Customer Service,A. Patel,2026-02-01,2026-02-12,2026-02-22,Closed,Compliance review documented a fair lending concern. Analyst noted CS ref 00495.,Corrective Action Taken,No
CMP-2025-0082,Fair Lending Complaint,Fair Treatment,C10250,2025-08-27,Direct Customer,S. Carter,2025-08-30,2025-09-14,,Open,Compliance review documented a fair treatment concern.,,No
CMP-2025-0083,Compliance Concern,Other Regulatory,,2025-12-23,Other Department,J. Nguyen,2025-12-23,2025-12-29,2026-01-14,Closed,Compliance review documented a other regulatory concern.,Referred for Further Review,Yes
CMP-2025-0084,Fair Lending Complaint,Other Regulatory,,2025-05-27,Compliance Monitoring,M. Lewis,2025-05-29,2025-06-13,2025-06-24,Closed,Compliance review documented a other regulatory concern.,Corrective Action Taken,No
CMP-2026-0085,Fair Lending Complaint,Fair Treatment,C10108,2026-05-28,Customer Service,R. Kim,2026-05-30,2026-06-06,2026-06-15,Closed,Compliance review documented a fair treatment concern. Customer Service complaint CS-2026-00011 noted in referral.,Monitoring / Follow-up,Yes
CMP-2025-0086,Fair Lending Complaint,Servicing / Collections,C10482,2025-08-12,Branch,J. Nguyen,2025-08-13,2025-08-18,,Open,Compliance review documented a servicing / collections concern.,,No
CMP-2025-0087,Fair Lending Complaint,Privacy,C10099,2025-09-18,Customer Service,J. Nguyen,2025-09-21,2025-10-07,2025-10-12,Closed,Compliance review documented a privacy concern. Customer Service complaint CS-2025-00194 noted in referral.,Customer Remediation,No
CMP-2025-0088,Fair Lending Complaint,Fair Treatment,C10165,2025-11-15,Direct Customer,R. Kim,2025-11-17,2025-11-26,2025-11-27,Closed,Compliance review documented a fair treatment concern.,No Violation Identified,No
CMP-2025-0089,Compliance Concern,Fair Lending,C10378,2025-02-02,Direct Customer,S. Carter,2025-02-05,2025-02-23,2025-02-27,Closed,Compliance review documented a fair lending concern.,Monitoring / Follow-up,No
CMP-2025-0090,Regulatory Complaint,Fair Lending,C10327,2025-05-18,Compliance Monitoring,J. Nguyen,2025-05-19,2025-05-20,2025-05-26,Closed,Compliance review documented a fair lending concern.,Monitoring / Follow-up,No
CMP-2026-0091,Regulatory Complaint,Servicing / Collections,C10153,2026-02-16,Branch,M. Lewis,2026-02-18,2026-03-04,2026-04-01,Closed,Compliance review documented a servicing / collections concern.,Corrective Action Taken,No
CMP-2026-0092,Consumer Protection Concern,Fair Lending,C10291,2026-01-17,Customer Service,M. Lewis,2026-01-17,2026-01-21,2026-01-31,Closed,Compliance review documented a fair lending concern. Customer Service complaint CS-2025-00168 noted in referral.,Monitoring / Follow-up,Yes
CMP-2025-0093,Fair Lending Complaint,Fair Lending,C10486,2025-10-07,Other Department,M. Lewis,2025-10-10,2025-10-14,2025-10-27,Closed,Compliance review documented a fair lending concern.,Referred for Further Review,No
CMP-2026-0094,Fair Lending Complaint,Servicing / Collections,C10438,2026-03-16,Customer Service,J. Nguyen,2026-03-19,2026-03-22,2026-04-13,Closed,Compliance review documented a servicing / collections concern.,No Violation Identified,No
CMP-2025-0095,Consumer Protection Concern,Fair Treatment,C10467,2025-06-04,Branch,A. Patel,2025-06-06,2025-06-12,2025-06-19,Closed,Compliance review documented a fair treatment concern.,Referred for Further Review,No
CMP-2025-0096,Compliance Concern,Accessibility,C10338,2025-01-21,Branch,J. Nguyen,2025-01-22,2025-02-09,,Open,Compliance review documented a accessibility concern.,,No
CMP-2026-0097,Compliance Concern,Accessibility,C10115,2026-02-09,Customer Service,S. Carter,2026-02-11,2026-03-01,2026-03-04,Closed,Compliance review documented a accessibility concern. Analyst noted CS ref 00409.,Monitoring / Follow-up,No
CMP-2026-0098,Consumer Protection Concern,Other Regulatory,C10186,2026-04-03,Other Department,A. Patel,2026-04-06,2026-04-16,2026-05-09,Closed,Compliance review documented a other regulatory concern.,Monitoring / Follow-up,No
CMP-2026-0099,Compliance Concern,Fees / Disclosures,C10232,2026-06-06,Compliance Monitoring,S. Carter,2026-06-09,2026-06-10,,Open,Compliance review documented a fees / disclosures concern.,,No
CMP-2026-0100,Compliance Concern,Fees / Disclosures,,2026-08-23,Digital Monitoring,J. Nguyen,2026-08-24,2026-08-31,2026-09-27,Closed,Compliance review documented a fees / disclosures concern.,Customer Remediation,No
CMP-2025-0101,Consumer Protection Concern,Privacy,C10180,2025-03-03,Direct Customer,J. Nguyen,2025-03-04,2025-03-07,2025-03-23,Closed,Compliance review documented a privacy concern.,No Violation Identified,No
CMP-2025-0102,Consumer Protection Concern,Fair Lending,C10175,2025-09-26,Direct Customer,J. Nguyen,2025-09-26,2025-09-30,2025-10-24,Closed,Compliance review documented a fair lending concern.,No Violation Identified,Yes
CMP-2026-0103,Compliance Concern,Other Regulatory,C10362,2026-03-08,Branch,M. Lewis,2026-03-10,2026-03-22,,Open,Compliance review documented a other regulatory concern.,,Yes
CMP-2025-0104,Fair Lending Complaint,Servicing / Collections,C10313,2025-09-14,Other Department,S. Carter,2025-09-14,2025-09-18,2025-10-04,Closed,Compliance review documented a servicing / collections concern.,Referred for Further Review,No
CMP-2026-0105,Consumer Protection Concern,Servicing / Collections,C10212,2026-03-21,Compliance Monitoring,R. Kim,2026-03-23,2026-03-31,2026-04-05,Closed,Compliance review documented a servicing / collections concern.,Referred for Further Review,Yes
CMP-2025-0106,Compliance Concern,Other Regulatory,,2025-03-25,Compliance Monitoring,S. Carter,2025-03-27,2025-04-01,2025-04-25,Closed,Compliance review documented a other regulatory concern.,Corrective Action Taken,No
CMP-2026-0107,Regulatory Complaint,Fair Lending,C10051,2026-05-03,Direct Customer,A. Patel,2026-05-05,2026-05-09,2026-05-20,Closed,Compliance review documented a fair lending concern.,Corrective Action Taken,No
CMP-2025-0108,Consumer Protection Concern,Other Regulatory,C10418,2025-01-05,Compliance Monitoring,S. Carter,2025-01-07,2025-01-10,,Open,Compliance review documented a other regulatory concern.,,No
CMP-2026-0109,Consumer Protection Concern,Fees / Disclosures,C10248,2026-03-23,Customer Service,J. Nguyen,2026-03-25,2026-04-09,2026-04-28,Closed,Compliance review documented a fees / disclosures concern. Originating CS record referenced as CS 2025 00274.,Corrective Action Taken,No
CMP-2026-0110,Consumer Protection Concern,Fair Treatment,,2026-08-19,Digital Monitoring,R. Kim,2026-08-19,2026-08-27,2026-09-14,Closed,Compliance review documented a fair treatment concern.,Customer Remediation,No
CMP-2026-0111,Regulatory Complaint,Other Regulatory,C10346,2026-05-26,Customer Service,J. Nguyen,2026-05-28,2026-05-30,2026-06-15,Closed,Compliance review documented a other regulatory concern.,Corrective Action Taken,No
CMP-2026-0112,Compliance Concern,Other Regulatory,C10470,2026-02-15,Customer Service,J. Nguyen,2026-02-16,2026-02-26,2026-03-16,Closed,Compliance review documented a other regulatory concern.,No Violation Identified,No
CMP-2025-0113,Fair Lending Complaint,Fair Lending,C10340,2025-01-11,Customer Service,M. Lewis,2025-01-14,2025-01-29,2025-02-19,Closed,Compliance review documented a fair lending concern.,No Violation Identified,Yes
CMP-2025-0114,Fair Lending Complaint,Fair Lending,,2025-01-18,Compliance Monitoring,A. Patel,2025-01-18,2025-02-05,2025-02-28,Closed,Compliance review documented a fair lending concern.,Monitoring / Follow-up,No
CMP-2025-0115,Compliance Concern,Fair Treatment,C10080,2025-06-20,Other Department,A. Patel,2025-06-22,2025-07-09,2025-07-24,Closed,Compliance review documented a fair treatment concern.,Corrective Action Taken,No
CMP-2025-0116,Regulatory Complaint,Accessibility,C10544,2025-02-10,Direct Customer,R. Kim,2025-02-13,2025-02-21,2025-03-02,Closed,Compliance review documented a accessibility concern.,Customer Remediation,No
CMP-2025-0117,Regulatory Complaint,Fees / Disclosures,C10317,2025-03-31,Branch,A. Patel,2025-04-01,2025-04-15,2025-04-22,Closed,Compliance review documented a fees / disclosures concern.,Referred for Further Review,No
CMP-2025-0118,Fair Lending Complaint,Servicing / Collections,C10109,2025-01-17,Customer Service,J. Nguyen,2025-01-19,2025-02-04,2025-02-08,Closed,Compliance review documented a servicing / collections concern.,Customer Remediation,No
CMP-2025-0119,Consumer Protection Concern,Fair Treatment,C10305,2025-04-07,Customer Service,S. Carter,2025-04-08,2025-04-11,2025-05-02,Closed,Compliance review documented a fair treatment concern. Analyst noted CS ref 00148.,Customer Remediation,No
CMP-2026-0120,Compliance Concern,Servicing / Collections,C10527,2026-06-08,Customer Service,R. Kim,2026-06-11,2026-06-23,2026-07-06,Closed,Compliance review documented a servicing / collections concern. Referred by Customer Service; originating complaint number was not documented.,No Violation Identified,No
CMP-2025-0121,Fair Lending Complaint,Fair Treatment,C10022,2025-04-26,Customer Service,S. Carter,2025-04-29,2025-05-13,2025-06-01,Closed,Compliance review documented a fair treatment concern.,No Violation Identified,No
CMP-2025-0122,Regulatory Complaint,Fair Lending,,2025-04-05,Compliance Monitoring,J. Nguyen,2025-04-07,2025-04-09,,Open,Compliance review documented a fair lending concern.,,Yes
CMP-2025-0123,Compliance Concern,Privacy,C10269,2025-02-26,Direct Customer,S. Carter,2025-02-28,2025-03-11,2025-03-15,Closed,Compliance review documented a privacy concern.,Customer Remediation,No
CMP-2025-0124,Consumer Protection Concern,Other Regulatory,C10388,2025-09-03,Customer Service,J. Nguyen,2025-09-03,2025-09-05,2025-09-27,Closed,Compliance review documented a other regulatory concern. Customer Service complaint CS-2025-00364 noted in referral.,Corrective Action Taken,No
CMP-2025-0125,Fair Lending Complaint,Electronic Funds Transfer,C10405,2025-04-02,Customer Service,S. Carter,2025-04-03,2025-04-05,2025-04-24,Closed,Compliance review documented a electronic funds transfer concern.,Referred for Further Review,No
CMP-2025-0126,Regulatory Complaint,Fair Lending,C10242,2025-12-16,Compliance Monitoring,J. Nguyen,2025-12-16,2025-12-24,2026-01-15,Closed,Compliance review documented a fair lending concern.,Referred for Further Review,Yes
CMP-2025-0127,Consumer Protection Concern,Other Regulatory,,2025-12-11,Compliance Monitoring,A. Patel,2025-12-12,2025-12-25,2026-01-15,Closed,Compliance review documented a other regulatory concern.,Referred for Further Review,Yes
CMP-2025-0128,Consumer Protection Concern,Fees / Disclosures,C10007,2025-02-25,Customer Service,R. Kim,2025-02-26,2025-03-01,2025-03-02,Closed,Compliance review documented a fees / disclosures concern. Analyst noted CS ref 00043.,Customer Remediation,No
