complaint_id,received_date,resolved_date,customer_id,primary_category,complaint_notes,contact_channel,product_id,branch_id,status,escalation_target
CS-2025-00041,2025-12-12,,C10476,Cards,Customer reported a debit or credit card concern. Customer provided additional context about the experience.,Other Department Referral,P007,,Open,
CS-2025-00042,2025-01-23,2025-02-03,C10567,Account Servicing,Customer called about concern.,Secure Message,P005,,Resolved,
CS-2026-00043,2026-06-10,2026-06-29,,Other,Customer described a concern that did not clearly fit an available category. Representative attempted to resolve the issue during the interaction.,Phone,P001,,Resolved,
CS-2025-00044,2025-03-18,,C10058,Lending,Customer expressed dissatisfaction related to a lending product or process. Customer provided additional context about the experience.,Secure Message,P002,,Referred,Other Department
CS-2025-00045,2025-03-14,,C10474,Lending,Customer upset; follow-up requested.,Phone,P010,,Open,
CS-2026-00046,2026-06-21,,C10269,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Representative attempted to resolve the issue during the interaction.,Branch Referral,P003,B010,Open,
CS-2025-00047,2025-10-12,2025-10-26,C10143,Account Servicing,Customer expressed dissatisfaction with account servicing. Representative attempted to resolve the issue during the interaction.,Phone,P009,,Resolved,
CS-2025-00048,2025-08-03,2025-08-24,C10169,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Representative attempted to resolve the issue during the interaction.,Branch Referral,P001,,Resolved,
CS-2025-00049,2025-04-18,2025-05-05,C10008,Lending,Customer expressed dissatisfaction related to a lending product or process. Customer provided additional context about the experience.,Phone,P010,,Resolved,
CS-2025-00050,2025-06-08,2025-06-24,C10124,Cards,Customer called about concern.,Phone,P009,B006,Resolved,
CS-2025-00051,2025-02-10,,,Lending,Issue reviewed with customer.,Branch Referral,P001,B005,Referred,Supervisor
CS-2025-00052,2025-08-14,2025-08-25,C10464,Account Servicing,Customer expressed dissatisfaction with account servicing. Customer provided additional context about the experience.,Phone,,,Resolved,
CS-2026-00053,2026-04-08,2026-04-21,C10109,Cards,Issue reviewed with customer.,Phone,P001,,Resolved,
CS-2025-00054,2025-03-01,2025-03-14,C10301,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Representative attempted to resolve the issue during the interaction.,Secure Message,P004,,Resolved,
CS-2025-00055,2025-01-22,2025-02-07,C10421,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Representative documented the issue for follow-up.,Secure Message,P004,,Resolved,
CS-2025-00056,2025-07-28,2025-08-18,C10191,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Customer provided additional context about the experience.,Phone,P009,B007,Resolved,
CS-2025-00057,2025-04-24,2025-05-05,C10191,Lending,Customer expressed dissatisfaction related to a lending product or process. Customer provided additional context about the experience.,Secure Message,P006,,Resolved,
CS-2025-00058,2025-09-14,2025-09-29,C10498,Employee/Service,Customer described dissatisfaction with an employee interaction or service experience. Representative attempted to resolve the issue during the interaction.,Phone,P001,B008,Resolved,
CS-2025-00059,2025-02-25,2025-03-11,C10239,Account Servicing,Customer upset; follow-up requested.,Branch Referral,P003,B003,Resolved,
CS-2026-00060,2026-02-09,2026-02-23,C10595,Cards,Customer reported a debit or credit card concern. Additional notes were entered for review.,Phone,P006,B005,Resolved,
CS-2026-00061,2026-02-03,2026-02-14,C10020,Account Servicing,Customer expressed dissatisfaction with account servicing. Additional notes were entered for review.,Email,P005,,Resolved,
CS-2025-00062,2025-01-04,2025-01-16,C10272,Other,Customer upset; follow-up requested.,Phone,P003,,Resolved,
CS-2025-00063,2025-08-18,2025-09-07,C10407,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Representative documented the issue for follow-up.,Phone,P001,,Resolved,
CS-2025-00064,2025-06-04,2025-06-08,C10302,Cards,Issue reviewed with customer.,Phone,P008,,Resolved,
CS-2025-00065,2025-12-22,2025-12-31,C10221,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Additional notes were entered for review.,Secure Message,,,Resolved,
CS-2026-00066,2026-03-24,2026-04-06,C10246,Fees,Customer disputed a fee and requested review. Additional notes were entered for review.,Phone,P003,,Resolved,
CS-2025-00067,2025-10-14,2025-10-29,C10006,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Representative attempted to resolve the issue during the interaction.,Phone,P006,,Resolved,
CS-2025-00068,2025-03-02,,C10175,Other,Customer described a concern that did not clearly fit an available category. Representative documented the issue for follow-up.,Other Department Referral,P001,,Open,
CS-2025-00069,2025-06-19,2025-06-27,C10033,Account Servicing,Customer expressed dissatisfaction with account servicing. Representative attempted to resolve the issue during the interaction.,Phone,P001,,Resolved,
CS-2026-00070,2026-08-18,2026-08-28,C10318,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Representative attempted to resolve the issue during the interaction.,Phone,P001,,Resolved,
CS-2026-00071,2026-02-03,2026-02-25,C10413,Lending,Customer expressed dissatisfaction related to a lending product or process. Additional notes were entered for review.,Phone,P010,,Resolved,
CS-2025-00072,2025-08-24,2025-09-15,C10014,Cards,Customer called about concern.,Phone,P011,B001,Resolved,
CS-2025-00073,2025-12-31,2026-01-08,C10178,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Representative documented the issue for follow-up.,Secure Message,P005,B003,Resolved,
CS-2025-00074,2025-04-17,2025-05-08,C10559,Cards,Issue reviewed with customer.,Phone,P006,,Resolved,
CS-2025-00075,2025-01-19,2025-01-25,C10029,Online & Mobile Banking,Issue reviewed with customer.,Phone,P005,,Resolved,
CS-2026-00076,2026-02-17,2026-03-07,C10236,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Representative attempted to resolve the issue during the interaction.,Branch Referral,P007,B004,Resolved,
CS-2026-00077,2026-01-09,,C10448,Account Servicing,Customer expressed dissatisfaction with account servicing. Customer provided additional context about the experience.,Secure Message,P005,,Open,
CS-2026-00078,2026-08-03,,C10572,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Additional notes were entered for review.,Phone,P002,,Open,
CS-2026-00079,2026-08-30,2026-09-01,C10424,Other,Customer upset; follow-up requested.,Email,P007,,Resolved,
CS-2026-00080,2026-03-30,2026-04-17,C10321,Lending,Customer expressed dissatisfaction related to a lending product or process. Customer provided additional context about the experience.,Email,,,Resolved,
CS-2025-00081,2025-12-28,2026-01-17,C10596,Lending,Customer expressed dissatisfaction related to a lending product or process. Additional notes were entered for review.,Branch Referral,P002,B002,Resolved,
CS-2025-00082,2025-09-20,,C10481,Account Servicing,Customer expressed dissatisfaction with account servicing. Representative attempted to resolve the issue during the interaction.,Phone,P001,,Open,
CS-2026-00083,2026-04-19,2026-05-07,C10144,Account Servicing,Customer expressed dissatisfaction with account servicing. Representative documented the issue for follow-up.,Secure Message,P006,,Resolved,
CS-2025-00084,2025-05-15,2025-05-17,C10068,Employee / Service,Issue reviewed with customer.,Phone,P001,,Resolved,
CS-2025-00085,2025-05-07,2025-05-17,C10240,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Additional notes were entered for review.,Phone,P005,,Resolved,
CS-2026-00086,2026-01-05,,C10169,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Customer provided additional context about the experience.,Other Department Referral,P011,,Referred,Compliance
CS-2025-00087,2025-11-30,2025-12-04,C10025,cards,Customer reported a debit or credit card concern. Additional notes were entered for review.,Secure Message,P003,,Resolved,
CS-2026-00088,2026-06-20,,C10349,Lending,Customer expressed dissatisfaction related to a lending product or process. Customer provided additional context about the experience.,Secure Message,P010,,Open,
CS-2025-00089,2025-10-12,2025-10-26,C10547,Lending,Customer expressed dissatisfaction related to a lending product or process. Representative attempted to resolve the issue during the interaction.,Branch Referral,P011,B001,Resolved,
CS-2025-00090,2025-11-25,,C10368,Fees,Customer disputed a fee and requested review. Additional notes were entered for review.,Email,P001,B001,Referred,Other Department
CS-2026-00091,2026-07-27,2026-08-18,C10143,Cards,Customer reported a debit or credit card concern. Representative documented the issue for follow-up.,Phone,P007,,Resolved,
CS-2026-00092,2026-03-13,2026-04-01,C10152,Lending,Customer expressed dissatisfaction related to a lending product or process. Additional notes were entered for review.,Phone,P011,,Resolved,
CS-2026-00093,2026-06-06,2026-06-10,C10092,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Representative documented the issue for follow-up.,Phone,P006,,Resolved,
CS-2025-00094,2025-01-05,,C10004,Cards,Customer called about concern.,Phone,P002,,Referred,Other Department
CS-2025-00095,2025-03-13,2025-03-21,C10510,Account Servicing,Customer expressed dissatisfaction with account servicing. Additional notes were entered for review.,Branch Referral,,B008,Resolved,
CS-2025-00096,2025-07-14,2025-07-22,C10140,Fees,Customer disputed a fee and requested review. Customer provided additional context about the experience.,Phone,P008,,Resolved,
CS-2025-00097,2025-01-13,2025-01-24,C10532,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Customer provided additional context about the experience.,Branch Referral,P002,B005,Resolved,
CS-2025-00098,2025-03-27,2025-04-17,C10156,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Additional notes were entered for review.,Secure Message,P009,,Resolved,
CS-2026-00099,2026-04-04,2026-04-24,C10210,Account Servicing,Customer expressed dissatisfaction with account servicing. Representative attempted to resolve the issue during the interaction.,Phone,P001,,Resolved,
CS-2026-00100,2026-07-22,2026-07-24,C10068,Other,Customer described a concern that did not clearly fit an available category. Additional notes were entered for review.,Phone,,,Resolved,
CS-2025-00101,2025-05-20,2025-05-23,C10385,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Customer provided additional context about the experience.,Phone,P009,B005,Resolved,
CS-2026-00102,2026-03-20,2026-04-02,C10560,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Representative attempted to resolve the issue during the interaction.,Phone,,,Resolved,
CS-2025-00103,2025-07-30,2025-08-19,C10349,Online & Mobile Banking,Customer called about concern.,Phone,P004,,Resolved,
CS-2025-00104,2025-02-25,2025-03-02,C10344,Employee / Service,Customer upset; follow-up requested.,Phone,,B003,Resolved,
CS-2026-00105,2026-02-28,2026-03-22,C10523,Other,Customer described a concern that did not clearly fit an available category. Representative documented the issue for follow-up.,Secure Message,P008,,Resolved,
CS-2026-00106,2026-07-09,2026-07-20,C10273,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Representative attempted to resolve the issue during the interaction.,Phone,P002,B006,Resolved,
CS-2025-00107,2025-03-08,2025-03-17,C10092,Other,Customer described a concern that did not clearly fit an available category. Representative attempted to resolve the issue during the interaction.,Phone,P003,B006,Resolved,
CS-2025-00108,2025-12-01,2025-12-19,C10298,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Additional notes were entered for review.,Branch Referral,P009,B009,Resolved,
CS-2025-00109,2025-10-30,2025-11-11,C10200,Online & Mobile Banking,Customer called about concern.,Phone,,,Resolved,
CS-2026-00110,2026-05-30,2026-06-16,C10159,Lending,Customer expressed dissatisfaction related to a lending product or process. Additional notes were entered for review.,Phone,P009,,Resolved,
CS-2026-00111,2026-01-03,2026-01-19,C10104,Cards,Customer upset; follow-up requested.,Secure Message,P006,,Resolved,
CS-2025-00112,2025-10-23,,C10539,Cards,Customer reported a debit or credit card concern. Customer provided additional context about the experience.,Email,P005,,Open,
CS-2025-00113,2025-08-04,2025-08-11,C10315,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Additional notes were entered for review.,Secure Message,P004,,Resolved,
CS-2026-00114,2026-02-21,2026-03-05,C10160,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Representative documented the issue for follow-up.,Secure Message,P001,,Resolved,
CS-2026-00115,2026-01-31,2026-02-11,C10596,Lending,Customer expressed dissatisfaction related to a lending product or process. Representative documented the issue for follow-up.,Phone,P011,,Resolved,
CS-2025-00116,2025-06-30,,C10343,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Representative documented the issue for follow-up.,Email,P006,B002,Referred,Other Department
CS-2026-00117,2026-08-02,,C10516,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Representative documented the issue for follow-up.,Phone,P008,,Open,
CS-2025-00118,2025-07-24,2025-07-29,C10218,Other ,Customer described a concern that did not clearly fit an available category. Additional notes were entered for review.,Other Department Referral,P010,,Resolved,
CS-2026-00119,2026-03-12,2026-04-02,C10038,Account Servicing,Customer expressed dissatisfaction with account servicing. Additional notes were entered for review.,Phone,P002,,Resolved,
CS-2026-00120,2026-01-29,2026-02-05,C10235,Employee / Service,Issue reviewed with customer.,Branch Referral,P004,B010,Resolved,
CS-2025-00121,2025-08-26,2025-09-13,C10362,Other,Customer described a concern that did not clearly fit an available category. Representative attempted to resolve the issue during the interaction.,Secure Message,P009,B005,Resolved,
CS-2026-00122,2026-01-24,2026-01-24,C10240,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Representative documented the issue for follow-up.,Phone,P011,,Resolved,
CS-2025-00123,2025-02-05,2025-02-10,C10549,Cards,Customer reported a debit or credit card concern. Representative documented the issue for follow-up.,Email,P006,B010,Resolved,
CS-2025-00124,2025-07-16,,C10214,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Representative documented the issue for follow-up.,Phone,P007,,Open,
CS-2026-00125,2026-02-07,2026-02-25,C10520,Lending,Customer expressed dissatisfaction related to a lending product or process. Representative documented the issue for follow-up.,Secure Message,P004,,Resolved,
CS-2026-00126,2026-08-20,2026-08-31,C10265,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Representative attempted to resolve the issue during the interaction.,Other Department Referral,P001,,Resolved,
CS-2025-00127,2025-02-03,2025-02-25,C10180,Cards,Customer called about concern.,Phone,P009,,Resolved,
CS-2026-00128,2026-08-15,2026-09-01,C10533,Fees,Customer disputed a fee and requested review. Customer provided additional context about the experience.,Other Department Referral,P009,,Resolved,
CS-2025-00129,2025-01-22,2025-01-24,C10009,Fees,Customer disputed a fee and requested review. Customer provided additional context about the experience.,Phone,,B001,Resolved,
CS-2025-00130,2025-04-26,2025-04-27,C10149,Fees,Customer disputed a fee and requested review. Representative attempted to resolve the issue during the interaction.,Secure Message,P008,,Resolved,
CS-2025-00131,2025-06-08,2025-06-14,C10405,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Representative attempted to resolve the issue during the interaction.,Phone,P002,,Resolved,
CS-2026-00132,2026-01-26,2026-02-02,C10096,Fees,Customer disputed a fee and requested review. Representative attempted to resolve the issue during the interaction.,Secure Message,P009,,Resolved,
CS-2025-00133,2025-11-12,2025-11-18,C10140,Other,Customer described a concern that did not clearly fit an available category. Additional notes were entered for review.,Phone,P002,,Resolved,
CS-2026-00134,2026-08-16,2026-08-25,C10584,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Representative documented the issue for follow-up.,Phone,P003,,Resolved,
CS-2026-00135,2026-01-20,2026-01-29,C10479,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Representative documented the issue for follow-up.,Secure Message,P002,,Resolved,
CS-2026-00136,2026-08-19,2026-08-22,C10005,Other,Customer described a concern that did not clearly fit an available category. Customer provided additional context about the experience.,Secure Message,P005,,Resolved,
CS-2026-00137,2026-04-23,,C10529,Cards,Customer reported a debit or credit card concern. Additional notes were entered for review.,Phone,P009,,Open,
CS-2026-00138,2026-08-20,2026-09-09,C10222,Cards,Customer reported a debit or credit card concern. Customer provided additional context about the experience.,Phone,P004,,Resolved,
CS-2025-00139,2025-09-19,2025-10-08,C10031,Cards,Customer reported a debit or credit card concern. Additional notes were entered for review.,Secure Message,P011,,Resolved,
CS-2025-00140,2025-08-25,2025-09-08,C10383,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Representative documented the issue for follow-up.,Secure Message,P004,,Resolved,
CS-2026-00141,2026-03-29,2026-04-14,C10421,Cards,Customer reported a debit or credit card concern. Customer provided additional context about the experience.,Secure Message,P007,,Resolved,
CS-2026-00142,2026-04-02,,C10512,Account Servicing,Customer expressed dissatisfaction with account servicing. Customer provided additional context about the experience.,Phone,P002,,Referred,Other Department
CS-2025-00143,2025-03-06,2025-03-07,C10152,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Customer provided additional context about the experience.,Phone,P011,,Resolved,
CS-2025-00144,2025-04-01,2025-04-19,C10515,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Representative documented the issue for follow-up.,Phone,P001,B010,Resolved,
CS-2026-00145,2026-02-09,2026-02-24,C10539,Other,Customer described a concern that did not clearly fit an available category. Additional notes were entered for review.,Secure Message,P003,,Resolved,
CS-2025-00146,2025-09-20,2025-10-12,C10447,Lending,Customer expressed dissatisfaction related to a lending product or process. Representative attempted to resolve the issue during the interaction.,Secure Message,P009,,Resolved,
CS-2025-00147,2025-07-11,2025-07-20,C10444,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Representative documented the issue for follow-up.,Phone,P002,,Resolved,
CS-2025-00148,2025-10-30,2025-11-09,C10021,Fees,Customer upset; follow-up requested.,Secure Message,P005,,Resolved,
CS-2026-00149,2026-06-25,2026-07-17,C10209,Account Servicing,Customer expressed dissatisfaction with account servicing. Representative attempted to resolve the issue during the interaction.,Phone,P006,B008,Resolved,
CS-2025-00150,2025-04-13,2025-04-30,C10326,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Representative documented the issue for follow-up.,Secure Message,P003,,Resolved,
CS-2025-00151,2025-08-26,2025-09-11,C10248,Account Servicing,Customer expressed dissatisfaction with account servicing. Additional notes were entered for review.,Phone,P007,,Resolved,
CS-2025-00152,2025-11-09,2025-11-17,C10567,Other,Customer described a concern that did not clearly fit an available category. Additional notes were entered for review.,Email,P007,B001,Resolved,
CS-2025-00153,2025-04-20,2025-04-23,C10309,Other,Customer described a concern that did not clearly fit an available category. Customer provided additional context about the experience.,Other Department Referral,P003,,Resolved,
CS-2026-00154,2026-03-29,2026-04-18,C10336,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Representative attempted to resolve the issue during the interaction.,Secure Message,P006,,Resolved,
CS-2025-00155,2025-01-01,,C10435,Account Servicing,Customer expressed dissatisfaction with account servicing. Representative documented the issue for follow-up.,Secure Message,P004,,Open,
CS-2025-00156,2025-03-15,2025-04-05,C10064,Fees,Customer disputed a fee and requested review. Additional notes were entered for review.,Phone,P003,B010,Resolved,
CS-2025-00157,2025-12-06,,C10149,Fees,Customer disputed a fee and requested review. Customer provided additional context about the experience.,Phone,P006,,Referred,Supervisor
CS-2025-00158,2025-04-01,2025-04-15,C10150,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Representative attempted to resolve the issue during the interaction.,Phone,P007,,Resolved,
CS-2025-00159,2025-08-02,2025-08-08,C10478,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Representative documented the issue for follow-up.,Secure Message,P009,,Resolved,
CS-2025-00160,2025-03-15,2025-03-28,,Account Servicing,Customer expressed dissatisfaction with account servicing. Representative attempted to resolve the issue during the interaction.,Phone,P002,B010,Resolved,
CS-2025-00161,2025-10-30,2025-11-14,C10329,Fees,Customer disputed a fee and requested review. Additional notes were entered for review.,Other Department Referral,,B008,Resolved,
CS-2026-00162,2026-01-30,2026-02-21,C10075,Lending,Customer expressed dissatisfaction related to a lending product or process. Additional notes were entered for review.,Email,P001,B003,Resolved,
CS-2025-00163,2025-11-04,2025-11-04,C10325,Other,Customer described a concern that did not clearly fit an available category. Representative documented the issue for follow-up.,Secure Message,P004,B005,Resolved,
CS-2025-00164,2025-10-06,2025-10-23,C10101,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Customer provided additional context about the experience.,Phone,,B010,Resolved,
CS-2025-00165,2025-10-17,2025-11-08,C10568,Fees ,Issue reviewed with customer.,Phone,P008,,Resolved,
CS-2026-00166,2026-04-15,2026-05-05,C10303,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Representative attempted to resolve the issue during the interaction.,Email,P008,,Resolved,
CS-2026-00167,2026-08-22,2026-09-05,C10453,Lending,Customer expressed dissatisfaction related to a lending product or process. Representative attempted to resolve the issue during the interaction.,Branch Referral,P010,B001,Resolved,
CS-2025-00168,2025-06-21,2025-06-29,C10389,Account servicing,Customer expressed dissatisfaction with account servicing. Customer provided additional context about the experience.,Branch Referral,P002,B009,Resolved,
CS-2026-00169,2026-06-07,2026-06-29,C10262,Cards,Customer reported a debit or credit card concern. Additional notes were entered for review.,Branch Referral,P001,B002,Resolved,
CS-2025-00170,2025-01-14,2025-02-02,C10544,Lending,Issue reviewed with customer.,Other Department Referral,P011,B009,Resolved,
CS-2025-00171,2025-01-31,2025-02-17,C10439,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Representative attempted to resolve the issue during the interaction.,Secure Message,P010,B002,Resolved,
CS-2026-00172,2026-07-19,2026-08-03,C10005,Employee / Service,Issue reviewed with customer.,Branch Referral,P002,,Resolved,
CS-2025-00173,2025-01-20,2025-02-05,C10283,Cards,Customer reported a debit or credit card concern. Representative documented the issue for follow-up.,Branch Referral,P003,B002,Resolved,
CS-2025-00174,2025-01-15,2025-01-17,C10189,Fees,Customer disputed a fee and requested review. Additional notes were entered for review.,Phone,P001,,Resolved,
CS-2025-00175,2025-12-24,2025-12-28,C10084,Account Servicing,Customer expressed dissatisfaction with account servicing. Additional notes were entered for review.,Secure Message,P001,B004,Resolved,
CS-2025-00176,2025-02-13,2025-03-06,C10269,Fees,Customer disputed a fee and requested review. Representative documented the issue for follow-up.,Branch Referral,,B005,Resolved,
CS-2025-00177,2025-04-16,2025-04-27,C10306,Lending,Customer expressed dissatisfaction related to a lending product or process. Representative documented the issue for follow-up.,Secure Message,P006,B009,Resolved,
CS-2025-00178,2025-01-14,,C10208,Lending,Customer expressed dissatisfaction related to a lending product or process. Customer provided additional context about the experience.,Email,P009,,Open,
CS-2025-00179,2025-08-01,2025-08-08,C10421,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Customer provided additional context about the experience.,Phone,P011,,Resolved,
